strDrink,strAlcoholic,strCategory,strGlass,fullString,strInstructions
Vesuvio,Alcoholic,Ordinary Drink,Old-fashioned glass,Light rum Sweet Vermouth Lemon Powdered sugar Egg white          ,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve."
Veteran,Alcoholic,Ordinary Drink,Old-fashioned glass,Dark rum Cherry brandy             ,Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.
Victor,Alcoholic,Ordinary Drink,Cocktail glass,Gin Sweet Vermouth Brandy            ,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Victory Collins,Alcoholic,Ordinary Drink,Collins glass,Vodka Lemon juice Grape juice Powdered sugar Orange          ,Shake all ingredients (except orange slice) with ice and strain into a collins glass over ice cubes. Add the slice of orange and serve.
Vodka And Tonic,Alcoholic,Ordinary Drink,Highball glass,Vodka Tonic water             ,"Pour vodka into a highball glass over ice cubes. Fill with tonic water, stir, and serve."
Vodka Fizz,Alcoholic,Other/Unknown,White wine glass,Vodka Half-and-half Limeade Ice Nutmeg          ,"Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top."
Vodka Martini,Alcoholic,Ordinary Drink,Cocktail glass,Vodka Dry Vermouth Olive            ,"Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve."
Vodka Russian,Alcoholic,Ordinary Drink,Collins Glass,Vodka Schweppes Russchian             ,Mix it as a ordinary drink .
Waikiki Beachcomber,Alcoholic,Ordinary Drink,Cocktail glass,Triple sec Gin Pineapple juice            ,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Whiskey Sour,Alcoholic,Ordinary Drink,Old-fashioned glass,Blended whiskey Lemon Powdered sugar Cherry Lemon          ,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice."
Whisky Mac,Alcoholic,Ordinary Drink,Collins Glass,Scotch Wine             ,Pour both of the ingredients into a wine goblet with no ice.
White Lady,Alcoholic,Ordinary Drink,Cocktail glass,Gin Triple Sec Lemon Juice            ,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.
White Russian,Alcoholic,Ordinary Drink,Old-fashioned glass,Vodka Coffee liqueur Light cream            ,Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.
Whitecap Margarita,Alcoholic,Other/Unknown,Margarita/Coupette glass,Ice Tequila Cream of coconut Lime juice           ,Place all ingredients in a blender and blend until smooth. This makes one drink.
Wine Cooler,Optional alcohol,Punch / Party Drink,Collins Glass,Red wine Lemon-lime soda Ice            ,Mix wine and soft drink. Pour into glass. Add ice.
Wine Punch,Alcoholic,Punch / Party Drink,Collins Glass,Red wine Lemon Orange juice Orange Pineapple juice          ,Combine all of the ingredients and pour over a block of ice.
Yellow Bird,Alcoholic,Cocktail,Cocktail glass,White Rum Galliano Triple Sec Lime Juice           ,Shake and strain into a chilled cocktail glass
Yoghurt Cooler,Non alcoholic,Other/Unknown,Highball Glass,Yoghurt Fruit Ice            ,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up. Note: Use lots of ice in this one - great on hot days! To add ice: Remove the center of the cover while the blender is on - drop 3 or 4 ice cubs and blend until they're completely crushed."
Zambeer,Alcoholic,Soft Drink / Soda,Collins Glass,Sambuca Root beer Ice            ,Mix sambuca with rootbeer and stir. Add ice
Zenmeister,Alcoholic,Ordinary Drink,Collins Glass,Jägermeister Root beer             ,Mix together and enjoy
Ziemes Martini Apfelsaft,Alcoholic,Ordinary Drink,Collins Glass,Vermouth Apple juice             ,Serve without ice. At least the juice shold have room temperature.
Zima Blaster,Alcoholic,Ordinary Drink,Hurricane glass,Zima Chambord raspberry liqueur             ,"Fill glass with ice. Pour in Chambord, then fill with Zima. Mix and enjoy."
Zimadori Zinger,Alcoholic,Punch / Party Drink,Collins glass,Midori melon liqueur Zima             ,Pour Zima in a collins glass over ice and then pour the shot of Midori. Don't stir. Garnish with a cherry.
Zinger,Alcoholic,Soft Drink / Soda,Highball glass,Peachtree schnapps Surge             ,Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.
Zipperhead,Alcoholic,Shot,Whiskey sour glass,Chambord raspberry liqueur Vodka Soda water            ,"Fill glass with rocks, add straw before putting in liquor. Then add the ingredients in order, trying to keep layered as much as possible (i.e. Chambord on bottom, then Vodka, Then soda on top)."
Zippy's Revenge,Alcoholic,Cocktail,Old-fashioned glass,Amaretto Rum Kool-Aid            ,Mix Kool-Aid to taste then add Rum and ammaretto. shake well to disolve the sugar in the Kool-Aid... serve cold
Zizi Coin-coin,Alcoholic,Punch / Party Drink,Margarita/Coupette glass,Cointreau Lemon juice Ice Lemon           ,"Pour 5cl of Cointreau on ice, add 2cl of fresh lemon (or lime) juice, stir gently, and finally add slices of lemon/lime in glass."
Zoksel,Alcoholic,Soft Drink / Soda,Beer pilsner,Beer Root beer Lemonade Coca-Cola 7-Up Creme de Cassis Lemon        ,"No specific mixinginstructions, just poor every ingredient in one glass. The lemon goes with it."
Zorbatini,Alcoholic,Cocktail,Cocktail glass,Vodka Ouzo             ,Prepare like a Martini. Garnish with a green olive.
Zorro,Alcoholic,Coffee / Tea,Coffee Mug,Sambuca Bailey's irish cream White Creme de Menthe            ,add all and pour black coffee and add whipped cream on top.
