strDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIngredient1,strMeasure1,strIngredient2,strMeasure2,strIngredient3,strMeasure3,strIngredient4,strMeasure4,strIngredient5,strMeasure5,strIngredient6,strMeasure6,strIngredient7,strMeasure7,strIngredient8,strMeasure8,strIngredient9,strMeasure9,strIngredient10,strMeasure10,strIngredient11,strMeasure11,strIngredient12,strMeasure12,strIngredient13,strMeasure13,strIngredient14,strMeasure14,strIngredient15,strMeasure15,strInstructions
Aloha Fruit punch,Non alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/wsyvrt1468876267.jpg,Collins Glass,Water,3/4 cup ,Ginger,2 tsp ,Guava juice,2 cups ,Lemon juice,1 1/2 tblsp ,Pineapple,1 1/2 cup ,Sugar,1 cup ,Pineapple juice,3-4 cups ,, ,, ,, ,, ,, ,,,,,,,"Add 1/4 cup water to ginger root. Boil 3 minutes. Strain. Add the liquid to the guava, lemon and pineapple juices. Make a syrup of sugar and remaining water. Cool. Combine with juices and pineapple. Chill throroughly."
Amaretto And Cream,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/dj8n0r1504375018.jpg,Cocktail glass,Amaretto,1 1/2 oz ,Light cream,1 1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Shake well with cracked ice, strain contents into a cocktail glass, and serve."
Amaretto Liqueur,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/swqxuv1472719649.jpg,Collins Glass,Sugar,1 cup,Water,3/4 cup ,Apricot,2,Almond flavoring,1 tblsp ,Grain alcohol,1/2 cup pure ,Water,1/2 cup ,Brandy,1 cup ,Food coloring,3 drops yellow ,Food coloring,6 drops red ,Food coloring,2 drops blue ,Glycerine,1/2 tsp ,, ,, ,, ,, ,"Combine sugar and 3/4 cup water in a small saucepan. Bring to a boil, stirring constantly. Reduce heat and simmer until all sugar is dissolved. Remove from heat and cool. In an aging container, combine apricot halves, almond extract, grain alcohol with 1/2 cup water, and brandy. Stir in cooled sugar syrup mixture. Cap and let age for 2 days. Remove apricot halves. (Save apricot halves, can be used for cooking). Add food coloring and glycerine. Stir, recap and continue aging for 1 to 2 months. Re-bottle as desired. Liqueur is ready to serve but will continue to improve with additional aging."
Amaretto Mist,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/utpxxq1483388370.jpg,Old-fashioned glass,Amaretto,1 1/2 oz ,Lime,1,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)"
Amaretto Rose,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3jm41q1493069578.jpg,Collins glass,Amaretto,1 1/2 oz ,Lime juice,1/2 oz ,Club soda,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,Pour amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.
Amaretto Shake,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xk79al1493069655.jpg,Collins Glass,Chocolate ice-cream,2 scoops ,Brandy,2 oz ,Amaretto,2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.
Amaretto Sour,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xnzc541493070211.jpg,Collins Glass,Amaretto,1 1/2 oz ,Sour mix,3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Shake and strain. Garnish with a cherry and an orange slice.
Amaretto Stinger,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vvop4w1493069934.jpg,Cocktail glass,Amaretto,1 1/2 oz ,White Creme de Menthe,3/4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Shake ingredients well with cracked ice, strain into a cocktail glass, and serve."
Amaretto Stone Sour,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/xwryyx1472719921.jpg,Collins Glass,Amaretto,1 part ,Sour mix,1 part ,Orange juice,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Shake and Serve over ice
Amaretto Stone Sour #3,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/wutxqr1472720012.jpg,Highball glass,Sour mix,2 oz ,Amaretto,2 oz ,Tequila,2 oz ,Orange juice,Add splash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Shake sour mix, tequila and amaretto with ice. Strain into highball glass. Add a splash of OJ. Garnish with orange slice and a cherry."
Amaretto Sunrise,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/akcpsh1493070267.jpg,Collins Glass,Amaretto,1 cl ,Orange juice,4 oz ,Grenadine,1/4 cl ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Mix together the amaretto and orange juice. Pour into glass and then add the grenadine untill you see the sunrise.
Amaretto Sunset,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/apictz1493069760.jpg,Collins Glass,Triple sec,1/2 jigger ,Amaretto,3 shots ,Cider,1/2 cup ,Ice,Add 1/2 cup ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Shake ingredients in bartender's mixer quickly, just 5 shakes. Strain out ice, serve in glass immediately with a slice of orange."
Amaretto Sweet & Sour,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/vswwus1472668546.jpg,Margarita/Coupette glass,Amaretto,"
",Sweet and sour,"
",Midori melon liqueur, ,Pineapple juice, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Fill the blender with 3/4 ice. Add sweet & sour mix to the top of the ice. Add about 1"" of pineapple juice, 1/2"" of melon liqeur, and 1/2 to 1/4"" of amaretto. Then blend the mix until it is of margaritta consistency or thinner."
Amaretto Tea,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/b7qzo21493070167.jpg,Pousse cafe glass,Tea,6 oz hot ,Amaretto,2 oz ,Whipped cream,Chilled ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Pour hot tea into a pousse-cafe glass, using a spoon in glass to prevent cracking. Add amaretto, but do not stir. Top with chilled whipped cream and serve."
Americano,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/trwruu1478253126.jpg,Collins glass,Campari,1 oz ,Sweet Vermouth,1 oz red ,Lemon peel,Twist of ,Orange peel,Twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice."
Angel Face,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqpptp1478253178.jpg,Cocktail glass,Apricot brandy,1/2 oz ,Apple brandy,1/2 oz ,Gin,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Shake all ingredients with ice and strain contents into a cocktail glass.
Angelica Liqueur,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/yuurps1472667672.jpg,Collins Glass,Angelica root,3 tblsp chopped,Almond,1 tblsp chopped ,Allspice,1 cracked ,Cinnamon,1 one-inch ,Anise,3-6 crushed ,Coriander,1/8 tsp powdered ,Marjoram leaves,1 tblsp fresh chopped ,Vodka,1.5 cup ,Sugar,1/2 cup granulated ,Water,1/4 cup ,Food coloring,1 drop yellow ,Food coloring,1 drop green ,, ,, ,, ,"Combine all herbs, nuts and spices with vodka in a 1 quart or larger aging container. Cap tightly and shake daily for 2 weeks. Strain through a fine muslin cloth or coffee filter, discarding solids. Clean out aging container. Place liquid back in container. Place sugar and water in saucepan and stir to combine over medium heat. When sugar is completely dissolved, set aside and let cool. When cool combine with food coloring and add to liqueur liquid. Cap and allow to age and mellow in a cool, dark place for one month."
Apello,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,Collins Glass,Orange juice,4 cl ,Grapefruit juice,3 cl ,Apple juice,1 cl ,Maraschino cherry,1,, ,, ,, ,, ,, ,,,,,,,,,,,,,Stirr. Grnish with maraschino cherry.
Apple Berry Smoothie,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/xwqvur1468876473.jpg,Highball Glass,Berries,1 cup ,Apple,2,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Throw everything into a blender and liquify.
Apple Cider Punch #1,Optional alcohol,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/xrqxuv1454513218.jpg,Collins Glass,Apple cider,4 qt ,Brown sugar,1 cup ,Lemonade,6 oz frozen ,Orange juice,6 oz frozen ,Cloves,6 whole ,Allspice,6 whole ,Nutmeg,1 tsp ground ,Cinnamon,3 sticks ,, ,, ,, ,, ,, ,,,,,"If you use the whole all spice and cloves, tie them in cheesecloth. Heat the mixture. Stir occasionally. If you want an alcoholic drink, rum would be nice."
Apple Grande,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/wqrptx1472668622.jpg,Punch Bowl,Tequila,3 oz ,Apple cider,12 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Chill both ingredients!! Mix in a tumbler and enjoy!
Apple Karate,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/syusvw1468876634.jpg,Highball Glass,Apple juice,2 cups ,Carrot,1 large ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Apple Pie with A Crust,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/qspqxt1472720078.jpg,Collins Glass,Apple juice,3 parts ,Malibu rum,1 part ,Cinnamon,3 dashes ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Just mix the two liquids and sprinkle in the cinnamon. Serve either cold or heated.
Apple Slammer,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/09yd5f1493069852.jpg,Shot glass,7-Up,1 part ,Apple schnapps,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"pour into a shot glass and present to consumer, they are expected to cover the top of the shotglass with thier palm, raise the glass, slam it on the bar and the swallow quickly."
Applecar,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,Cocktail glass,Applejack,1 oz ,Triple sec,1 oz ,Lemon juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Applejack,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg,Cocktail glass,Jack Daniels,1 oz ,Midori melon liqueur,1/2 oz ,Sour mix,2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Add all ingredients into mixing glass, chill and strain into cocktail glass"
Apricot Lady,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/146f251504389814.jpg,Old-fashioned glass,Light rum,1 1/2 oz ,Apricot brandy,1 oz ,Triple sec,1 tsp ,Lemon juice,1/2 oz ,Egg white,1,Orange,1,, ,, ,, ,, ,, ,,,,,,,,,"In a shaker half-filled with ice cubes, combine the rum, apricot brandy, triple sec, lemon juice, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice."
Apricot punch,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/tuxxtp1472668667.jpg,Punch bowl,Apricot brandy,1 qt ,Champagne,4 fifth ,Vodka,1 fifth ,7-Up,4 L ,Orange juice,1/2 gal ,, ,, ,, ,, ,, ,,,,,,,,,,,Pour all ingrediants into a large punch bowl. Add ice and 4 oranges that are peeled and divided.
Archbishop,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xpqwrt1441207307.jpg,Old-fashioned glass,Gin,2 oz ,Wine,1 oz Green Ginger ,Benedictine,1 tsp ,Lime,1,, ,, ,, ,, ,, ,,,,,,,,,,,,,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well."
Arctic Fish,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/ttsvwy1472668781.jpg,Beer pilsner,Vodka,1/3 part ,Grape soda,1/3 part ,Orange juice,1/3 part ,Ice,lots ,Candy,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,"Fill glass with ice and fish, add vodka, grape soda and orange juice. DO NOT STIR!!!!! Serve well chilled."
Arctic Mouthwash,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/wqstwv1478963735.jpg,Cocktail glass,Maui,5 oz blue ,Mountain Dew,5 oz ,Ice," cubes
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,Blend all ingredients in a blender on high until ice is finely crushed. It should be of a slushy consistency. Pour immediately and serve.
Arise My Love,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wyrrwv1441207432.jpg,Champagne flute,Champagne,Chilled ,Green Creme de Menthe,1 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Put creme de menthe into a champagne flute. Fill with chilled champagne and serve.
Arizona Antifreeze,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/dbtylp1493067262.jpg,Shot glass,Vodka,1/3 oz ,Midori melon liqueur,1/3 oz ,Sweet and sour,1/3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Pour all ingredients into shot glass and slam !!!!
Arizona Stingers,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/y7w0721493068255.jpg,Hurricane glass,Absolut Vodka,2 shots ,Iced tea,12 oz lemon ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Place ice cubes in the hurricane glass . Add the 2 HEAPING shots of Absolute Vodka (Note: You can add as many shots of Absolute as you want!) Fill the rest of glass with the Arizona Icetea with lemon. Stir to mix using a spoon. Drink up and enjoy!!!!!!!
Arizona Twister,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ido1j01493068134.jpg,Hurricane glass,Vodka,1 shot ,Malibu rum,1 shot ,Gold tequila,1 shot ,Orange juice,1 splash ,Pineapple juice,1 splash ,Cream of coconut,1 splash ,Grenadine,1 dash ,Ice,crushed ,Pineapple,1 wedge ,, ,, ,, ,, ,, ,,,"Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge."
Army special,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/55muhh1493068062.jpg,Cocktail glass,Vodka,30 ml ,Gin,30 ml ,Lime juice cordial,45 ml ,Ice,1/2 glass crushed ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw."
Arthur Tompkins,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/7onfhz1493067921.jpg,Whiskey sour glass,Gin,2 oz ,Grand Marnier,1/2 oz ,Lemon juice,2 tsp ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"In a shaker half-filled with ice cubes, combine the gin, Grand Marnier, and lemon juice. Shake well. Strain into a sour glass and garnish with the lemon twist."
Artillery,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg,Cocktail glass,Sweet Vermouth,1 1/2 tsp ,Gin,1 1/2 oz ,Bitters,2 dashes ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve."
Artillery Punch,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/9a4vqb1493067692.jpg,Punch bowl,Tea,1 quart black ,Rye whiskey,1 quart ,Red wine,1 fifth ,Rum,1 pint Jamaican ,Brandy,1/2 pint ,Benedictine,1 1/2 oz ,Orange juice,1 pint ,Lemon juice,1/2 pint ,, ,, ,, ,, ,, ,,,,,"Combine all the ingredients in a large punch bowl with a block of ice. If found too dry, sugar syrup may be added. Decorate with twists of lemon peel."
Atlantic Sun,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/doyxqb1493067556.jpg,Collins Glass,Vodka,2 cl Smirnoff ,Southern Comfort,2 cl ,Passion fruit syrup,2 cl ,Sweet and sour,6 cl ,Club soda,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,"Shake all the ingredients, top the drink with soda. Garnish with a slice of orange."
Atomic Lokade,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/n3zfrh1493067412.jpg,Collins Glass,Lemonade,5 oz ,Vodka,1 oz ,Blue Curacao,1/2 oz ,Triple sec,1/2 oz ,Sugar,"
",Ice, ,, ,, ,, ,, ,,,,,,,,,,,"In a shaker, place lemonade, vodka, blue Curacao, and triple sec together. Shake with ice and strain into glass. Add sugar to taste"
Auburn Headbanger,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/vw7iv91493067320.jpg,Shot glass,Jägermeister,1 oz ,Goldschlager,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Mix in spread glass over ice. Strain and pour in shot glass. Sit down before shotting. ENJOY!!
Autodafé,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg,Highball glass,Vodka,4 cl ,Lime juice,1 dash ,Soda water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.
Avalanche,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/uppqty1472720165.jpg,Highball glass,Crown Royal,1 shot ,Kahlua,1 shot ,Cream,Fill with ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Mix in highball glass over ice, shake well."
Avalon,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,Highball glass,Vodka,3 parts,Pisang Ambon,1 part ,Apple juice,6 parts ,Lemon juice,1 1/2 part ,Lemonade,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition."
Aviation,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ruutxt1478253328.jpg,Cocktail glass,Gin,4.5 cl,lemon juice,1.5 cl,maraschino liqueur,1.5 cl,,,,,,,,,,,,,,,,,,,,,,,,,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.
Aztec Punch,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/uqwuyp1454514591.jpg,Punch bowl,Lemonade,1 can ,Vodka,5 oz ,Rum,7 oz ,Ginger ale,About 1 bottle ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Mix all ingredients in a pitcher. Mix thoroughly and pour into whatever is available, the bigger the better! This drink packs a big punch, so don't over do it."
B-52,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg,Shot glass,Bailey's irish cream,3-Jan,Grand Marnier,3-Jan,Kahlua,4-Jan,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Layer ingredients into a shot glass. Serve with a stirrer.
B-53,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg,Collins Glass,Kahlua,1/3 shot ,Sambuca,1/3 shot ,Grand Marnier,1/3 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52"
Baby Eskimo,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/wywrtw1472720227.jpg,Collins Glass,Kahlua,2 oz ,Milk,8 oz ,Vanilla ice-cream,2 scoops ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink."
Baby Guinness,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rvyvxs1473482359.jpg,Shot glass,Kahlua,2 1/2 oz ,Bailey's irish cream,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Pour Kahlua, almost filling shot glass. Then, carefully pour Baileys, using wall of shot glass. This will give the ""Guinness"" its ""head""."
Bacardi Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/n433t21504348259.jpg,Cocktail glass,Light rum,1 3/4 oz Bacardi ,Lime juice,1 oz ,Sugar syrup,1/2 tsp ,Grenadine,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,Shake together with ice. Strain into glass and serve.
Bailey's Dream Shake,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/qxrvqw1472718959.jpg,Collins glass,Bailey's irish cream,2 oz ,Vanilla ice-cream,2 scoops ,Cream,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,Blend ingredients for 30 seconds. Definitely refreshing for a hot summer's day !
Balmoral,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg,Cocktail glass,Scotch,1 1/2 oz ,Sweet Vermouth,1/2 oz ,Dry Vermouth,1/2 oz ,Bitters,2 dashes ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
Banana Cantaloupe Smoothie,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/uqxqsy1468876703.jpg,Highball Glass,Cantaloupe,Juice of 1/2 ,Banana,1,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Juice cantaloupe, pour juice into blender, add banana, and liquify."
Banana Daiquiri,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/k1xatq1504389300.jpg,Champagne flute,Light rum,1 1/2 oz ,Triple sec,1 tblsp ,Banana,1,Lime juice,1 1/2 oz ,Sugar,1 tsp ,Cherry,1,, ,, ,, ,, ,, ,,,,,,,,,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
Banana Milk Shake,Non alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/rtwwsx1472720307.jpg,White wine glass,Milk,10 cl cold ,Orange juice,4 cl ,Sugar syrup,2 tsp ,Banana,2-Jan,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Blend very well, preferably in a household mixer. Serve in a wine glass, garnish with whipped cream and a piece of banana."
Banana Strawberry Shake,Non alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/vqquwx1472720634.jpg,Highball Glass,Strawberries,1/2 lb frozen ,Banana,1 frozen ,Yoghurt,1 cup plain ,Milk,1 cup ,Honey," to taste
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,Blend all together in a blender until smooth.
Banana Strawberry Shake Daiquiri-type,Non alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/uvypss1472720581.jpg,Cocktail Glass,Strawberries,1/2 lb frozen ,Banana,1 frozen ,Apple juice,2 cups fresh ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Blend all together in a blender until smooth.
